 datData; strNomePraca; strCodigoCategoria; numMesReferencia; numAnoReferencia; numValorArrecadado; numQuantidadeVeiculos
01/06/2013; TERCEIRA PONTE; CAT5; 6; 2013; 22.80; 6 
01/06/2013; TERCEIRA PONTE; CAT6; 6; 2013; 114.00; 15 
01/06/2013; TERCEIRA PONTE; CAT7; 6; 2013; 85.50; 9 
01/06/2013; TERCEIRA PONTE; CAT8; 6; 2013; 136.80; 12 
01/06/2013; TERCEIRA PONTE; CAT88; 6; 2013; 0.00; 877 
01/06/2013; TERCEIRA PONTE; CAT9; 6; 2013; 3673.65; 3867 
01/07/2013; PRAIA DO SOL; CAT1   ; 7; 2013; 56016.00; 7780 
01/07/2013; PRAIA DO SOL; CAT2   ; 7; 2013; 9144.00; 635 
01/07/2013; PRAIA DO SOL; CAT3   ; 7; 2013; 108.00; 10 
01/07/2013; PRAIA DO SOL; CAT4   ; 7; 2013; 6782.40; 314 
01/07/2013; PRAIA DO SOL; CAT5   ; 7; 2013; 14.40; 1 
01/07/2013; PRAIA DO SOL; CAT6   ; 7; 2013; 2304.00; 80 
01/07/2013; PRAIA DO SOL; CAT7   ; 7; 2013; 1476.00; 41 
01/07/2013; PRAIA DO SOL; CAT8   ; 7; 2013; 1252.80; 29 
01/07/2013; PRAIA DO SOL; CAT88  ; 7; 2013; 0.00; 153 
01/07/2013; PRAIA DO SOL; CAT9   ; 7; 2013; 1908.00; 530 
01/07/2013; TERCEIRA PONTE; CAT1   ; 7; 2013; 112134.20; 59018 
01/07/2013; TERCEIRA PONTE; CAT2   ; 7; 2013; 1732.80; 456 
01/07/2013; TERCEIRA PONTE; CAT3   ; 7; 2013; 76.95; 27 
01/07/2013; TERCEIRA PONTE; CAT4   ; 7; 2013; 57.00; 10 
01/07/2013; TERCEIRA PONTE; CAT5   ; 7; 2013; 22.80; 6 
01/07/2013; TERCEIRA PONTE; CAT6   ; 7; 2013; 30.40; 4 
01/07/2013; TERCEIRA PONTE; CAT7   ; 7; 2013; 0.00; 0 
01/07/2013; TERCEIRA PONTE; CAT8   ; 7; 2013; 0.00; 0 
01/07/2013; TERCEIRA PONTE; CAT88  ; 7; 2013; 0.00; 1391 
01/07/2013; TERCEIRA PONTE; CAT9   ; 7; 2013; 7058.50; 7430 
01/08/2013; PRAIA DO SOL; CAT1   ; 8; 2013; 58845.60; 8173 
01/08/2013; PRAIA DO SOL; CAT2   ; 8; 2013; 7084.80; 492 
01/08/2013; PRAIA DO SOL; CAT3   ; 8; 2013; 226.80; 21 
01/08/2013; PRAIA DO SOL; CAT4   ; 8; 2013; 3585.60; 166 
01/08/2013; PRAIA DO SOL; CAT5   ; 8; 2013; 0.00; 0 
01/08/2013; PRAIA DO SOL; CAT6   ; 8; 2013; 979.20; 34 
01/08/2013; PRAIA DO SOL; CAT7   ; 8; 2013; 1368.00; 38 
01/08/2013; PRAIA DO SOL; CAT8   ; 8; 2013; 1339.20; 31 
01/08/2013; PRAIA DO SOL; CAT88  ; 8; 2013; 0.00; 205 
01/08/2013; PRAIA DO SOL; CAT9   ; 8; 2013; 1983.60; 551 
01/08/2013; TERCEIRA PONTE; CAT1   ; 8; 2013; 62958.40; 78698 
01/08/2013; TERCEIRA PONTE; CAT2   ; 8; 2013; 1116.80; 698 
01/08/2013; TERCEIRA PONTE; CAT3   ; 8; 2013; 44.40; 37 
01/08/2013; TERCEIRA PONTE; CAT4   ; 8; 2013; 19.20; 8 
01/08/2013; TERCEIRA PONTE; CAT5   ; 8; 2013; 8.00; 5 
01/08/2013; TERCEIRA PONTE; CAT6   ; 8; 2013; 0.00; 0 
01/08/2013; TERCEIRA PONTE; CAT7   ; 8; 2013; 0.00; 0 
01/08/2013; TERCEIRA PONTE; CAT8   ; 8; 2013; 0.00; 0 
01/08/2013; TERCEIRA PONTE; CAT88  ; 8; 2013; 0.00; 1563 
01/08/2013; TERCEIRA PONTE; CAT9   ; 8; 2013; 3733.20; 9333 
01/09/2013; PRAIA DO SOL; CAT1; 9; 2013; 52603.20; 7306 
01/09/2013; PRAIA DO SOL; CAT2; 9; 2013; 1857.60; 129 
01/09/2013; PRAIA DO SOL; CAT3; 9; 2013; 140.40; 13 
01/09/2013; PRAIA DO SOL; CAT4; 9; 2013; 1576.80; 73 
01/09/2013; PRAIA DO SOL; CAT5; 9; 2013; 43.20; 3 
01/09/2013; PRAIA DO SOL; CAT6; 9; 2013; 172.80; 6 
01/09/2013; PRAIA DO SOL; CAT7; 9; 2013; 180.00; 5 
01/09/2013; PRAIA DO SOL; CAT8; 9; 2013; 475.20; 11 
01/09/2013; PRAIA DO SOL; CAT88; 9; 2013; 0.00; 148 
01/09/2013; PRAIA DO SOL; CAT9; 9; 2013; 1544.40; 429 
01/09/2013; TERCEIRA PONTE; CAT1; 9; 2013; 40254.40; 50318 
01/09/2013; TERCEIRA PONTE; CAT2; 9; 2013; 420.80; 263 
01/09/2013; TERCEIRA PONTE; CAT3; 9; 2013; 74.40; 62 
01/09/2013; TERCEIRA PONTE; CAT4; 9; 2013; 33.60; 14 
01/09/2013; TERCEIRA PONTE; CAT5; 9; 2013; 4.80; 3 
01/09/2013; TERCEIRA PONTE; CAT6; 9; 2013; 6.40; 2 
01/09/2013; TERCEIRA PONTE; CAT7; 9; 2013; 0.00; 0 
01/09/2013; TERCEIRA PONTE; CAT8; 9; 2013; 0.00; 0 
01/09/2013; TERCEIRA PONTE; CAT88; 9; 2013; 0.00; 672 
01/09/2013; TERCEIRA PONTE; CAT9; 9; 2013; 1045.60; 2614 
01/10/2013; PRAIA DO SOL; CAT1; 10; 2013; 57895.20; 8041 
01/10/2013; PRAIA DO SOL; CAT2; 10; 2013; 6883.20; 478 
01/10/2013; PRAIA DO SOL; CAT3; 10; 2013; 194.40; 18 
01/10/2013; PRAIA DO SOL; CAT4; 10; 2013; 3672.00; 170 
01/10/2013; PRAIA DO SOL; CAT5; 10; 2013; 0.00; 0 
01/10/2013; PRAIA DO SOL; CAT6; 10; 2013; 1382.40; 48 
01/10/2013; PRAIA DO SOL; CAT7; 10; 2013; 1620.00; 45 
01/10/2013; PRAIA DO SOL; CAT8; 10; 2013; 1684.80; 39 
01/10/2013; PRAIA DO SOL; CAT88; 10; 2013; 0.00; 298 
01/10/2013; PRAIA DO SOL; CAT9; 10; 2013; 1735.20; 482 
01/10/2013; TERCEIRA PONTE; CAT1; 10; 2013; 63264.80; 79081 
01/10/2013; TERCEIRA PONTE; CAT2; 10; 2013; 1144.00; 715 
01/10/2013; TERCEIRA PONTE; CAT3; 10; 2013; 62.40; 52 
01/10/2013; TERCEIRA PONTE; CAT4; 10; 2013; 62.40; 26 
01/10/2013; TERCEIRA PONTE; CAT5; 10; 2013; 3.20; 2 
01/10/2013; TERCEIRA PONTE; CAT6; 10; 2013; 0.00; 0 
01/10/2013; TERCEIRA PONTE; CAT7; 10; 2013; 0.00; 0 
01/10/2013; TERCEIRA PONTE; CAT8; 10; 2013; 0.00; 0 
01/10/2013; TERCEIRA PONTE; CAT88; 10; 2013; 0.00; 1554 
01/10/2013; TERCEIRA PONTE; CAT9; 10; 2013; 3510.40; 8776 
01/11/2013; PRAIA DO SOL; CAT1   ; 11; 2013; 82000.80; 11389 
01/11/2013; PRAIA DO SOL; CAT2   ; 11; 2013; 7401.60; 514 
01/11/2013; PRAIA DO SOL; CAT3   ; 11; 2013; 302.40; 28 
